,date,Canada,China,Taiwan*,US,Canada per day,US per day,China per day,Taiwan* per day
0,1/22/20,0,548,1,1,0,1,548,1
1,1/23/20,0,643,1,1,0,0,95,0
2,1/24/20,0,920,3,2,0,1,277,2
3,1/25/20,0,1406,3,2,0,0,486,0
4,1/26/20,1,2075,4,5,1,3,669,1
5,1/27/20,1,2877,5,5,0,0,802,1
6,1/28/20,2,5509,8,5,1,0,2632,3
7,1/29/20,2,6087,8,5,0,0,578,0
8,1/30/20,2,8141,9,5,0,0,2054,1
9,1/31/20,4,9802,10,7,2,2,1661,1
10,2/1/20,4,11891,10,8,0,1,2089,0
11,2/2/20,4,16630,10,8,0,0,4739,0
12,2/3/20,4,19716,10,11,0,3,3086,0
13,2/4/20,4,23707,11,11,0,0,3991,1
14,2/5/20,5,27440,11,11,1,0,3733,0
15,2/6/20,5,30587,16,11,0,0,3147,5
16,2/7/20,7,34110,16,11,2,0,3523,0
17,2/8/20,7,36814,17,11,0,0,2704,1
18,2/9/20,7,39829,18,11,0,0,3015,1
19,2/10/20,7,42354,18,11,0,0,2525,0
20,2/11/20,7,44386,18,12,0,1,2032,0
21,2/12/20,7,44759,18,12,0,0,373,0
22,2/13/20,7,59895,18,13,0,1,15136,0
23,2/14/20,7,66358,18,13,0,0,6463,0
24,2/15/20,7,68413,18,13,0,0,2055,0
25,2/16/20,7,70513,20,13,0,0,2100,2
26,2/17/20,8,72434,22,13,1,0,1921,2
27,2/18/20,8,74211,22,13,0,0,1777,0
28,2/19/20,8,74619,23,13,0,0,408,1
29,2/20/20,8,75077,24,13,0,0,458,1
30,2/21/20,9,75550,26,15,1,2,473,2
31,2/22/20,9,77001,26,15,0,0,1451,0
32,2/23/20,9,77022,28,15,0,0,21,2
33,2/24/20,10,77241,30,15,1,0,219,2
34,2/25/20,11,77754,31,15,1,0,513,1
35,2/26/20,11,78166,32,15,0,0,412,1
36,2/27/20,13,78600,32,16,2,1,434,0
37,2/28/20,14,78928,34,16,1,0,328,2
38,2/29/20,20,79356,39,24,6,8,428,5
39,3/1/20,24,79932,40,30,4,6,576,1
40,3/2/20,27,80136,41,53,3,23,204,1
41,3/3/20,30,80261,42,73,3,20,125,1
42,3/4/20,33,80386,42,104,3,31,125,0
43,3/5/20,37,80537,44,174,4,70,151,2
44,3/6/20,49,80690,45,222,12,48,153,1
45,3/7/20,54,80770,45,337,5,115,80,0
46,3/8/20,64,80823,45,451,10,114,53,0
47,3/9/20,77,80860,45,519,13,68,37,0
48,3/10/20,79,80887,47,711,2,192,27,2
49,3/11/20,108,80921,48,1109,29,398,34,1
