,day,count
0,2020-01-01,1076
1,2020-01-02,1180
2,2020-01-03,1195
3,2020-01-04,1124
4,2020-01-05,1144
5,2020-01-06,1209
6,2020-01-07,1187
7,2020-01-08,1131
8,2020-01-09,1152
9,2020-01-10,1182
10,2020-01-11,1061
11,2020-01-12,932
12,2020-01-13,1202
13,2020-01-14,1169
14,2020-01-15,1064
15,2020-01-16,1084
16,2020-01-17,1185
17,2020-01-18,772
18,2020-01-19,947
19,2020-01-20,1157
20,2020-01-21,1135
21,2020-01-22,1097
22,2020-01-23,1135
23,2020-01-24,1184
24,2020-01-25,1027
25,2020-01-26,1043
26,2020-01-27,1184
27,2020-01-28,1149
28,2020-01-29,1110
29,2020-01-30,1091
30,2020-01-31,1137
31,2020-02-01,1040
32,2020-02-02,989
33,2020-02-03,1173
34,2020-02-04,1154
35,2020-02-05,1112
36,2020-02-06,1092
37,2020-02-07,1061
38,2020-02-08,1064
39,2020-02-09,1057
40,2020-02-10,1162
41,2020-02-11,1181
42,2020-02-12,1146
43,2020-02-13,1116
44,2020-02-14,1202
45,2020-02-15,1134
46,2020-02-16,1046
47,2020-02-17,1187
48,2020-02-18,1161
49,2020-02-19,1176
50,2020-02-20,1166
51,2020-02-21,1208
52,2020-02-22,1071
53,2020-02-23,1049
54,2020-02-24,1199
55,2020-02-25,1191
56,2020-02-26,1111
57,2020-02-27,977
58,2020-02-28,1157
59,2020-02-29,1080
60,2020-03-01,1021
61,2020-03-02,1174
62,2020-03-03,1159
63,2020-03-04,1119
64,2020-03-05,1170
65,2020-03-06,1173
66,2020-03-07,1072
67,2020-03-08,1143
68,2020-03-09,1215
69,2020-03-10,1174
70,2020-03-11,1145
71,2020-03-12,1130
72,2020-03-13,1225
73,2020-03-14,1108
74,2020-03-15,1060
75,2020-03-16,1086
76,2020-03-17,1066
77,2020-03-18,1022
78,2020-03-19,976
79,2020-03-20,991
80,2020-03-21,820
81,2020-03-22,717
82,2020-03-23,638
83,2020-03-24,466
84,2020-03-25,402
85,2020-03-26,350
86,2020-03-27,317
87,2020-03-28,260
88,2020-03-29,227
89,2020-03-30,233
90,2020-03-31,255
91,2020-04-01,236
92,2020-04-02,226
93,2020-04-03,220
94,2020-04-04,181
95,2020-04-05,166
96,2020-04-06,155
97,2020-04-07,166
98,2020-04-08,171
99,2020-04-09,197
100,2020-04-10,163
101,2020-04-11,129
102,2020-04-12,106
103,2020-04-13,170
104,2020-04-14,173
105,2020-04-15,163
106,2020-04-16,130
107,2020-04-17,154
108,2020-04-18,131
109,2020-04-19,104
110,2020-04-20,108
111,2020-04-21,154
112,2020-04-22,149
113,2020-04-23,134
114,2020-04-24,134
115,2020-04-25,110
116,2020-04-26,94
117,2020-04-27,104
118,2020-04-28,116
119,2020-04-29,131
120,2020-04-30,135
121,2020-05-01,156
122,2020-05-02,134
123,2020-05-03,127
124,2020-05-04,143
125,2020-05-05,118
126,2020-05-06,135
127,2020-05-07,175
128,2020-05-08,136
129,2020-05-09,105
130,2020-05-10,126
131,2020-05-11,125
132,2020-05-12,123
133,2020-05-13,139
134,2020-05-14,144
135,2020-05-15,134
136,2020-05-16,116
137,2020-05-17,114
138,2020-05-18,131
139,2020-05-19,137
140,2020-05-20,151
141,2020-05-21,152
142,2020-05-22,154
143,2020-05-23,120
144,2020-05-24,119
145,2020-05-25,138
146,2020-05-26,136
147,2020-05-27,147
148,2020-05-28,144
149,2020-05-29,156
150,2020-05-30,120
151,2020-05-31,120
