,day,count
0,2020-01-01,327
1,2020-01-02,286
2,2020-01-03,290
3,2020-01-04,280
4,2020-01-05,270
5,2020-01-06,293
6,2020-01-07,306
7,2020-01-08,305
8,2020-01-09,311
9,2020-01-10,303
10,2020-01-11,307
11,2020-01-12,326
12,2020-01-13,339
13,2020-01-14,289
14,2020-01-15,265
15,2020-01-16,299
16,2020-01-17,348
17,2020-01-18,297
18,2020-01-19,320
19,2020-01-20,335
20,2020-01-21,260
21,2020-01-22,282
22,2020-01-23,249
23,2020-01-24,229
24,2020-01-25,299
25,2020-01-26,299
26,2020-01-27,305
27,2020-01-28,266
28,2020-01-29,225
29,2020-01-30,191
30,2020-01-31,162
31,2020-02-01,145
32,2020-02-02,140
33,2020-02-03,127
34,2020-02-04,92
35,2020-02-05,98
36,2020-02-06,103
37,2020-02-07,125
38,2020-02-08,125
39,2020-02-09,162
40,2020-02-10,103
41,2020-02-11,56
42,2020-02-12,39
43,2020-02-13,54
44,2020-02-14,81
45,2020-02-15,79
46,2020-02-16,97
47,2020-02-17,78
48,2020-02-18,71
49,2020-02-19,76
50,2020-02-20,72
51,2020-02-21,85
52,2020-02-22,89
53,2020-02-23,110
54,2020-02-24,124
55,2020-02-25,131
56,2020-02-26,148
57,2020-02-27,151
58,2020-02-28,142
59,2020-02-29,169
60,2020-03-01,183
61,2020-03-02,190
62,2020-03-03,160
63,2020-03-04,183
64,2020-03-05,150
65,2020-03-06,180
66,2020-03-07,140
67,2020-03-08,181
68,2020-03-09,171
69,2020-03-10,152
70,2020-03-11,162
71,2020-03-12,137
72,2020-03-13,160
73,2020-03-14,153
74,2020-03-15,163
75,2020-03-16,130
76,2020-03-17,131
77,2020-03-18,129
78,2020-03-19,125
79,2020-03-20,119
80,2020-03-21,120
81,2020-03-22,140
82,2020-03-23,96
83,2020-03-24,64
84,2020-03-25,75
85,2020-03-26,85
86,2020-03-27,125
87,2020-03-28,157
88,2020-03-29,184
89,2020-03-30,163
90,2020-03-31,166
91,2020-04-01,160
92,2020-04-02,145
93,2020-04-03,193
94,2020-04-04,128
95,2020-04-05,140
96,2020-04-06,181
97,2020-04-07,196
98,2020-04-08,178
99,2020-04-09,175
100,2020-04-10,208
101,2020-04-11,167
102,2020-04-12,205
103,2020-04-13,170
104,2020-04-14,194
105,2020-04-15,212
106,2020-04-16,151
107,2020-04-17,223
108,2020-04-18,208
109,2020-04-19,208
110,2020-04-20,187
111,2020-04-21,176
112,2020-04-22,194
113,2020-04-23,188
114,2020-04-24,203
115,2020-04-25,197
116,2020-04-26,218
117,2020-04-27,204
118,2020-04-28,193
119,2020-04-29,139
120,2020-04-30,142
121,2020-05-01,166
122,2020-05-02,146
123,2020-05-03,128
124,2020-05-04,147
125,2020-05-05,170
126,2020-05-06,155
127,2020-05-07,154
128,2020-05-08,163
129,2020-05-09,95
130,2020-05-10,106
131,2020-05-11,105
132,2020-05-12,108
133,2020-05-13,107
134,2020-05-14,118
135,2020-05-15,114
136,2020-05-16,145
137,2020-05-17,170
138,2020-05-18,194
139,2020-05-19,182
140,2020-05-20,176
141,2020-05-21,188
142,2020-05-22,177
143,2020-05-23,184
144,2020-05-24,203
145,2020-05-25,186
146,2020-05-26,179
147,2020-05-27,204
148,2020-05-28,171
149,2020-05-29,198
150,2020-05-30,165
151,2020-05-31,194
