,day,count
0,2020-01-01,249
1,2020-01-02,249
2,2020-01-03,245
3,2020-01-04,245
4,2020-01-05,253
5,2020-01-06,240
6,2020-01-07,229
7,2020-01-08,221
8,2020-01-09,234
9,2020-01-10,237
10,2020-01-11,229
11,2020-01-12,234
12,2020-01-13,243
13,2020-01-14,235
14,2020-01-15,228
15,2020-01-16,238
16,2020-01-17,242
17,2020-01-18,214
18,2020-01-19,237
19,2020-01-20,260
20,2020-01-21,243
21,2020-01-22,240
22,2020-01-23,233
23,2020-01-24,238
24,2020-01-25,235
25,2020-01-26,226
26,2020-01-27,239
27,2020-01-28,238
28,2020-01-29,248
29,2020-01-30,245
30,2020-01-31,236
31,2020-02-01,235
32,2020-02-02,244
33,2020-02-03,244
34,2020-02-04,238
35,2020-02-05,231
36,2020-02-06,220
37,2020-02-07,221
38,2020-02-08,220
39,2020-02-09,224
40,2020-02-10,211
41,2020-02-11,188
42,2020-02-12,184
43,2020-02-13,176
44,2020-02-14,184
45,2020-02-15,179
46,2020-02-16,184
47,2020-02-17,183
48,2020-02-18,178
49,2020-02-19,164
50,2020-02-20,173
51,2020-02-21,168
52,2020-02-22,172
53,2020-02-23,172
54,2020-02-24,163
55,2020-02-25,162
56,2020-02-26,159
57,2020-02-27,150
58,2020-02-28,164
59,2020-02-29,151
60,2020-03-01,159
61,2020-03-02,138
62,2020-03-03,141
63,2020-03-04,134
64,2020-03-05,119
65,2020-03-06,121
66,2020-03-07,122
67,2020-03-08,134
68,2020-03-09,123
69,2020-03-10,116
70,2020-03-11,116
71,2020-03-12,114
72,2020-03-13,112
73,2020-03-14,117
74,2020-03-15,115
75,2020-03-16,98
76,2020-03-17,109
77,2020-03-18,109
78,2020-03-19,94
79,2020-03-20,91
80,2020-03-21,85
81,2020-03-22,72
82,2020-03-23,76
83,2020-03-24,71
84,2020-03-25,66
85,2020-03-26,64
86,2020-03-27,64
87,2020-03-28,63
88,2020-03-29,58
89,2020-03-30,52
90,2020-03-31,67
91,2020-04-01,62
92,2020-04-02,65
93,2020-04-03,54
94,2020-04-04,60
95,2020-04-05,58
96,2020-04-06,48
97,2020-04-07,59
98,2020-04-08,60
99,2020-04-09,63
100,2020-04-10,59
101,2020-04-11,68
102,2020-04-12,58
103,2020-04-13,53
104,2020-04-14,60
105,2020-04-15,64
106,2020-04-16,64
107,2020-04-17,65
108,2020-04-18,65
109,2020-04-19,58
110,2020-04-20,53
111,2020-04-21,62
112,2020-04-22,63
113,2020-04-23,68
114,2020-04-24,62
115,2020-04-25,59
116,2020-04-26,60
117,2020-04-27,48
118,2020-04-28,69
119,2020-04-29,70
120,2020-04-30,66
121,2020-05-01,61
122,2020-05-02,56
123,2020-05-03,52
124,2020-05-04,44
125,2020-05-05,58
126,2020-05-06,54
127,2020-05-07,62
128,2020-05-08,66
129,2020-05-09,70
130,2020-05-10,58
131,2020-05-11,54
132,2020-05-12,69
133,2020-05-13,72
134,2020-05-14,74
135,2020-05-15,71
136,2020-05-16,78
137,2020-05-17,59
138,2020-05-18,50
139,2020-05-19,70
140,2020-05-20,70
141,2020-05-21,70
142,2020-05-22,68
143,2020-05-23,78
144,2020-05-24,56
145,2020-05-25,50
146,2020-05-26,70
147,2020-05-27,65
148,2020-05-28,66
149,2020-05-29,73
150,2020-05-30,77
151,2020-05-31,61
